Genotype ID,Accession,Genotype,Rep,Leaf_num,CHLp1,CHLp2,CHLp3,FW,LA,DW,SLA,THCK,LWC
Bein,PI 576411,51,2,2,598.6,769,703.8,14.25,656.33,4.18,157.016746411483,46.0582456140351,70.6666666666667
Bein,PI 576411,51,2,3,609.7,744.9,749.5,15.05,628.87,4.07,154.513513513514,41.7853820598007,72.9568106312293
SAP-167,PI 597967,52,1,1,,,,,,,,,
SAP-167,PI 597967,52,1,2,,,,,,,,,
SAP-167,PI 597967,52,1,3,,,,,,,,,
SAP-167,PI 597967,52,2,1,,,,,,,,,
SAP-167,PI 597967,52,2,2,,,,,,,,,
SAP-167,PI 597967,52,2,3,,,,,,,,,
"Peela Amla, Sumra Khera",PI 57636 ,53,1,1,539.8,700.8,715.6,14.2,602.78,3.94,152.989847715736,42.4492957746479,72.2535211267606
"Peela Amla, Sumra Khera",PI 57636 ,53,1,2,739.3,754.1,560.1,13.05,545.65,3.6,151.569444444444,41.8122605363985,72.4137931034483
"Peela Amla, Sumra Khera",PI 57636 ,53,1,3,556.7,682,748.9,11.8,500.8,2.98,168.053691275168,42.4406779661017,74.7457627118644
"Peela Amla, Sumra Khera",PI 57636 ,53,2,1,,,,,,,,,
"Peela Amla, Sumra Khera",PI 57636 ,53,2,2,,,,,,,,,
"Peela Amla, Sumra Khera",PI 57636 ,53,2,3,,,,,,,,,
E-1,PI 534164,54,1,1,636.5,648.4,351.6,17.5,648.92,5.33,121.748592870544,37.0811428571429,69.5428571428571
E-1,PI 534164,54,1,2,502.5,639.5,634.5,21.55,837.5,6.06,138.201320132013,38.8631090487239,71.8793503480278
